iter	Passed	Remaining
535	1665	1442
536	1667	1437
537	1667	1432
538	1668	1426
539	1668	1421
540	1669	1416
541	1670	1411
542	1670	1406
543	1671	1401
544	1672	1396
545	1672	1390
546	1673	1385
547	1674	1380
548	1674	1375
549	1677	1372
550	1678	1367
551	1679	1362
552	1680	1358
553	1681	1353
554	1682	1348
555	1682	1343
556	1683	1338
557	1684	1333
558	1684	1329
559	1685	1324
560	1685	1319
561	1686	1314
562	1687	1309
563	1687	1304
564	1688	1299
565	1689	1295
566	1691	1291
567	1692	1287
568	1693	1282
569	1694	1278
570	1695	1273
571	1695	1268
572	1696	1264
573	1697	1259
574	1697	1254
575	1698	1250
576	1699	1245
577	1699	1240
578	1700	1236
579	1701	1231
580	1701	1227
581	1702	1222
582	1703	1218
583	1703	1213
584	1704	1209
585	1706	1205
586	1708	1201
587	1708	1197
588	1709	1193
589	1711	1189
590	1712	1185
591	1713	1180
592	1714	1176
593	1715	1172
594	1716	1168
595	1717	1163
596	1718	1159
597	1719	1155
598	1722	1153
599	1724	1149
600	1725	1145
601	1726	1141
602	1727	1137
603	1729	1133
604	1730	1129
605	1731	1125
606	1732	1121
607	1733	1117
608	1737	1115
609	1739	1112
610	1740	1108
611	1742	1104
612	1743	1100
613	1744	1096
614	1744	1092
615	1745	1088
616	1746	1084
617	1747	1080
618	1748	1075
619	1749	1072
620	1753	1070
621	1754	1066
622	1755	1062
623	1757	1058
624	1758	1055
625	1759	1051
626	1760	1047
627	1761	1043
628	1762	1039
629	1763	1035
630	1764	1031
631	1770	1030
632	1772	1027
633	1773	1023
634	1774	1019
635	1775	1015
636	1775	1011
637	1776	1008
638	1777	1004
639	1778	1000
640	1779	996
641	1779	992
642	1782	989
643	1784	986
644	1785	982
645	1786	978
646	1787	975
647	1787	971
648	1788	967
649	1789	963
650	1789	959
651	1790	955
652	1791	951
653	1791	948
654	1792	944
655	1793	940
656	1793	936
657	1794	932
658	1796	929
659	1798	926
660	1799	922
661	1800	919
662	1801	915
663	1802	912
664	1802	908
665	1803	904
666	1804	900
667	1804	897
668	1805	893
669	1806	889
670	1806	885
671	1807	882
672	1808	878
673	1808	874
674	1809	871
675	1812	868
676	1813	865
677	1814	861
678	1815	858
679	1816	854
680	1817	851
681	1818	847
682	1819	844
683	1820	841
684	1825	839
685	1828	836
686	1830	834
687	1834	831
688	1837	829
689	1838	826
690	1840	822
691	1841	819
692	1842	816
693	1843	813
694	1844	809
695	1845	806
696	1846	802
697	1849	800
698	1850	797
699	1851	793
700	1852	790
701	1853	786
702	1854	783
703	1855	779
704	1855	776
705	1856	773
706	1857	769
707	1858	766
708	1859	763
709	1859	759
710	1860	756
711	1861	752
712	1862	749
713	1864	746
714	1865	743
